antecedent,consequent,support,confidence
"Venue_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Overall_Rating_3([0, 1]) AND Overall_Rating_1([0, 1]) AND Schedule_Rating_2([0, 1])","Overall_Rating_2([0, 1])",1.0,1.0
"Venue_Rating_1([0, 1])","Objectives_Met_3([0, 1]) AND Speaker_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Venue_Rating_2([0, 1])",1.0,1.0
"Objectives_Met_3([0, 1])","Speaker_Rating_3([0, 1]) AND Schedule_Rating_3([0, 1]) AND Objectives_Met_2([0, 1]) AND Allowance_Rating_2([0, 1]) AND Overall_Rating_3([0, 1])",1.0,1.0
"Objectives_Met_1([0, 1]) AND Venue_Rating_1([0, 1]) AND Overall_Rating_1([0, 1]) AND Venue_Rating_2([0, 1]) AND Venue_Rating_3([0, 1])","Overall_Rating_3([0, 1]) AND Objectives_Met_3([0, 1]) AND Overall_Rating_2([0, 1]) AND Speaker_Rating_2([0, 1])",1.0,1.0
"Objectives_Met_1([0, 1]) AND Venue_Rating_3([0, 1]) AND Allowance_Rating_3([0, 1]) AND Participant_Rating_1([0, 1]) AND Overall_Rating_1([0, 1]) AND Venue_Rating_1([0, 1])","Speaker_Rating_3([0, 1])",1.0,1.0
"Objectives_Met_1([0, 1]) AND Schedule_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Objectives_Met_2([0, 1]) AND Participant_Rating_1([0, 1]) AND Venue_Rating_3([0, 1])","Facilitator_Rating_3([0, 1])",1.0,1.0
"Speaker_Rating_3([0, 1]) AND Schedule_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Speaker_Rating_2([0, 1]) AND Overall_Rating_1([0, 1])","Objectives_Met_1([0, 1]) AND Schedule_Rating_3([0, 1]) AND Venue_Rating_1([0, 1]) AND Participant_Rating_2([0, 1]) AND Objectives_Met_3([0, 1])",1.0,1.0
"Speaker_Rating_3([0, 1])","Venue_Rating_3([0, 1]) AND Overall_Rating_1([0, 1]) AND Objectives_Met_1([0, 1]) AND Allowance_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Overall_Rating_2([0, 1])",1.0,1.0
"Objectives_Met_3([0, 1]) AND Speaker_Rating_3([0, 1])","Speaker_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Allowance_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Venue_Rating_3([0, 1])",1.0,1.0
"Venue_Rating_3([0, 1]) AND Schedule_Rating_2([0, 1]) AND Objectives_Met_1([0, 1]) AND Speaker_Rating_3([0, 1]) AND Venue_Rating_1([0, 1]) AND Overall_Rating_2([0, 1])","Participant_Rating_1([0, 1]) AND Participant_Rating_2([0, 1])",1.0,1.0
"Schedule_Rating_3([0, 1]) AND Objectives_Met_3([0, 1]) AND Overall_Rating_3([0, 1])","Allowance_Rating_2([0, 1]) AND Objectives_Met_2([0, 1])",1.0,1.0
"Venue_Rating_2([0, 1])","Objectives_Met_3([0, 1]) AND Allowance_Rating_2([0, 1]) AND Speaker_Rating_2([0, 1]) AND Speaker_Rating_3([0, 1]) AND Overall_Rating_3([0, 1])",1.0,1.0
"Objectives_Met_3([0, 1]) AND Speaker_Rating_3([0, 1]) AND Overall_Rating_1([0, 1])","Allowance_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Participant_Rating_2([0, 1]) AND Speaker_Rating_2([0, 1]) AND Participant_Rating_1([0, 1]) AND Facilitator_Rating_2([0, 1]) AND Objectives_Met_2([0, 1])",1.0,1.0
"Venue_Rating_3([0, 1]) AND Objectives_Met_1([0, 1])","Overall_Rating_3([0, 1]) AND Allowance_Rating_2([0, 1]) AND Speaker_Rating_3([0, 1]) AND Overall_Rating_2([0, 1])",1.0,1.0
"Participant_Rating_1([0, 1]) AND Objectives_Met_1([0, 1]) AND Allowance_Rating_3([0, 1]) AND Venue_Rating_1([0, 1])","Overall_Rating_3([0, 1]) AND Overall_Rating_2([0, 1]) AND Schedule_Rating_2([0, 1]) AND Participant_Rating_2([0, 1])",1.0,1.0
"Venue_Rating_1([0, 1]) AND Speaker_Rating_2([0, 1])","Schedule_Rating_2([0, 1])",1.0,1.0
"Objectives_Met_1([0, 1])","Objectives_Met_3([0, 1]) AND Schedule_Rating_3([0, 1]) AND Overall_Rating_1([0, 1]) AND Allowance_Rating_3([0, 1]) AND Venue_Rating_3([0, 1]) AND Speaker_Rating_2([0, 1])",1.0,1.0
"Speaker_Rating_2([0, 1]) AND Overall_Rating_3([0, 1])","Objectives_Met_1([0, 1]) AND Venue_Rating_1([0, 1])",1.0,1.0
